Year,DutyPercent,DutyGrowth,ForeignerPercent,ForeignBornGrowth,Urban Rate,UrbanRateGrowth,Birth Rate
1941,13.59,-15.31,8.599119498,-2.406713607,57.2322396,1.279418026,20.3
1942,11.51,0.52,8.392163319,-2.46606471,57.96447919,1.263255722,22.2
1943,11.57,-18.32,8.185207141,-2.528417124,58.69671879,1.247496649,22.7
1944,9.45,-1.69,7.978250962,-2.594004375,59.42895839,1.232125903,21.2
1945,9.29,6.57,7.771294783,-2.663084914,60.16119798,1.217129353,20.4
1946,9.9,-23.74,7.564338604,-2.735945465,60.89343758,1.202493436,24.1
1947,7.55,-24.37,7.357382425,-2.812904999,61.62567717,1.188205361,26.6
1948,5.71,-3.15,7.150426247,-2.894319469,62.35791677,1.174252826,24.9
1949,5.53,7.96,6.943470068,-2.980587184,63.09015637,1.160624148,24.5
1950,5.97,-8.38,6.736513889,-2.306367055,63.82239596,0.3152311614,24.1
1951,5.47,-3.11,6.581145152,-2.360816141,64.02358404,0.3142405615,24.9
1952,5.3,2.26,6.425776415,-2.417898274,64.22477211,0.3132561835,25.1
1953,5.42,-4.61,6.270407678,-2.477809179,64.42596018,0.3122779691,25.1
1954,5.17,8.12,6.115038941,-2.540764474,64.62714826,0.3113058141,25.3
1955,5.59,1.43,5.959670204,-2.607002262,64.82833633,0.3103397085,25
1956,5.67,1.59,5.804301467,-2.676786119,65.0295244,0.3093795962,25.2
1957,5.76,11.81,5.648932731,-2.750408695,65.23071248,0.3084253756,25.3
1958,6.44,9.01,5.493563994,-2.828195633,65.43190055,0.3074770384,24.5
1959,7.02,5.41,5.338195257,-2.910510566,65.63308862,0.3065345304,24
1960,7.4,-2.57,5.18282652,-0.9315891978,65.8342767,0.3806107435,23.7
1961,7.21,4.02,5.134543868,-0.9403493911,66.08484903,0.3791675909,23.3
1962,7.5,-2.8,5.086261216,-0.9492759013,66.33542136,0.3777353409,22.4
1963,7.29,-1.23,5.037978564,-0.9583735101,66.58599369,0.3763138704,21.7
1964,7.2,7.22,4.989695912,-0.9676471843,66.83656602,0.3749030582,21.1
1965,7.72,-1.94,4.94141326,-0.9771020852,67.08713835,0.3735027848,19.5
1966,7.57,-0.4,4.893130608,-0.9867435772,67.33771068,0.3721129327,18.4
1967,7.54,-6.1,4.844847956,-0.9965772391,67.58828301,0.3707333858,17.8
1968,7.08,0.42,4.796565304,-1.006608874,67.83885534,0.3693640295,17.6
1969,7.11,-8.58,4.748282652,-1.016844521,68.08942767,0.3680047534,17.9
